	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
0	9	163.7777778	0.07199657	4	13093276	[]
1	15	292.5333333	0.029876268	7	13442174	[]
2	8	288.75	0.07555372	4	3885179	[]
4	16	190.5	0.060502669	11	13544079	[]
5	11	185.3636364	0.022006037	6	23157509	[]
7	18	279.5	0.069831002	7	4899310	[]
8	20	308.35	0.080020345	6	24046452	[]
9	9	245.6666667	0.102224652	5	22764390	[]
11	29	170.0689655	0.063409481	14	37581755	[]
12	25	278.56	0.083775426	11	23954458	[]
13	25	393.92	0.071502687	11	23561703	[]
14	28	206.0714286	0.070295805	9	6632418	[]
15	28	265.8214286	0.074137237	16	15078102	[]
19	24	266.9583333	0.081818101	5	16729139	[]
20	13	525.8461538	0.085744584	8	16735180	[]
21	9	299.5555556	0.042337377	6	7090936	[]
23	12	161.3333333	0.046934234	6	14878426	[]
27	10	228.9	0.052507825	4	4096115	[]
29	6	216.8333333	0.101911997	4	32343501	[]
30	12	290.4166667	0.05061356	6	30147756	[]
33	31	285.516129	0.096560629	7	17572887	[]
35	10	197.4	0.104378999	8	11504707	[]
36	21	323.047619	0.073324234	9	12234206	[]
37	25	252.96	0.083846279	18	31995865	[]
38	18	247.6111111	0.062175088	7	28395870	[]
40	31	312.7741935	0.086578557	8	11825640	[]
43	13	204.8461538	0.032830048	4	4438035	[]
45	17	268.2352941	0.06260475	8	11944339	[]
46	12	253.3333333	0.059255438	4	29694700	[]
47	12	265.8333333	0.040714752	5	30329160	[]
48	6	341.3333333	0.045829443	5	14486134	[]
51	42	250.952381	0.096589368	16	17847478	[]
53	20	331.35	0.11704527	6	11823445	[]
54	64	205.546875	0.075104301	26	30703038	[]
56	19	281.2105263	0.054272545	6	9490630	[]
57	28	241.4642857	0.06153628	7	9804614	[]
59	23	230.4782609	0.041575086	7	22298735	[]
60	17	202.7058824	0.119112263	4	7989146	[]
61	29	188.8275862	0.092008994	21	12086787	[]
63	12	229.75	0.030678226	7	21683668	[]
64	12	471.9166667	0.066191045	6	27168520	[]
65	11	292	0.08856229	6	23614738	[]
66	13	190.7692308	0.040700068	4	24099016	[]
67	20	303.8	0.063845796	9	18448860	[]
73	19	248	0.084551072	8	10658290	[]
74	17	249.6470588	0.053103959	12	19843183	[]
75	21	329.952381	0.043411808	6	15388068	[]
76	9	252.2222222	0.043184521	5	2099543	[]
79	20	280.5	0.102056781	15	33642118	[]
80	18	233.9444444	0.101513408	11	24212708	[]
82	13	256.8461538	0.039961453	5	3462930	[]
83	28	231.7142857	0.033361318	12	30484004	[]
84	19	197.1052632	0.047550728	6	5510426	[]
85	44	273.0681818	0.11040131	33	15945330	[]
87	18	244.7777778	0.084351356	10	34299849	[]
88	6	414	0.07003114	4	3262520	[]
89	22	274.9090909	0.075524946	10	29802124	[]
90	18	197.7222222	0.138631661	9	30765463	[]
91	10	304.8	0.032879507	4	2403682	[]
92	11	315.5454545	0.093988778	9	23256346	[]
94	13	272.6923077	0.082627003	5	10007135	[]
95	13	287.9230769	0.058200081	11	23206321	[]
96	13	234.9230769	0.076014273	9	31296337	[]
99	11	362.2727273	0.052721649	4	27129857	[]
101	10	262	0.04911815	6	17259672	[]
102	6	321.6666667	0.074284877	5	14851443	[]
108	12	282	0.124288357	7	21744056	[]
109	6	358.1666667	0.083160214	4	8659068	[]
111	12	215	0.136587797	7	34809674	[]
112	9	228	0.159786096	5	13184299	[]
113	27	324.8148148	0.048709482	10	28834322	[]
115	9	272.8888889	0.059211033	8	27506087	[]
116	14	222.8571429	0.103192772	5	34804464	[]
117	18	242.3333333	0.070983761	4	14037123	[]
118	13	258	0.043650202	6	11906183	[]
119	6	271.1666667	0.087580103	4	30396669	[]
120	19	367.4210526	0.059309017	5	14667227	[]
122	26	257.1923077	0.074024118	13	29963337	[]
123	18	345.6666667	0.05112255	5	17531863	[]
124	16	258.3125	0.123695546	5	8663205	[]
125	20	235.7	0.0661121	9	29875644	[]
126	9	283.5555556	0.074601664	8	3417585	[]
127	27	253.1111111	0.08710409	11	30077801	[]
128	20	261.4	0.046571458	11	11797463	[]
129	19	256.7894737	0.068844829	11	24654336	[]
130	14	226.6428571	0.231290066	9	29425651	[]
131	14	185.8571429	0.072278705	10	29939488	[]
132	23	257.8695652	0.056691544	15	33803414	[]
135	31	339.9677419	0.127159031	14	26471556	[]
137	13	268.3076923	0.068761462	11	20141517	[]
138	17	206	0.105265414	5	3427872	[]
139	23	171.7826087	0.057305699	7	29939832	[]
140	11	195.5454545	0.048765317	5	4790307	[]
141	13	302.9230769	0.061071154	8	23922709	[]
143	13	216.0769231	0.072857113	7	3971023	[]
144	19	313.7368421	0.061340432	5	5926859	[]
145	36	275.0277778	0.116091043	17	29562668	[]
146	22	320.0454545	0.025841257	7	9393427	[]
147	6	242	0.024644564	5	29963683	[]
148	10	209.8	0.043052278	6	2109123	[]
151	17	193.3529412	0.067128042	4	11727698	[]
152	10	251.4	0.050132156	8	24080073	[]
153	21	242.8095238	0.068056356	5	5856172	[]
155	15	280.5333333	0.128058029	6	21818451	[]
157	18	315.0555556	0.034048368	9	28600435	[]
158	10	215.9	0.086515118	9	23423324	[]
159	9	211.8888889	0.120565295	8	3600411	[]
160	27	185.2592593	0.127066774	12	30140889	[]
161	12	216.25	0.076414473	10	27205732	[]
164	7	256.4285714	0.129442382	4	5084624	[]
165	18	238.6666667	0.102176253	8	28841381	[]
166	22	349.3181818	0.028382426	8	23846965	[]
167	9	409	0.053964143	4	6237571	[]
169	15	325.4666667	0.08437997	5	16963428	[]
170	9	240.4444444	0.044743581	4	10003861	[]
172	8	170.875	0.0956925	6	32051552	[]
173	29	298.5172414	0.075968503	10	28333508	[]
174	10	227.8	0.0697745	5	17034063	[]
175	38	222.8684211	0.055858664	15	26510863	[]
176	12	194.6666667	0.079164173	10	11650908	[]
177	12	208.1666667	0.080927187	4	5021335	[]
178	24	195.375	0.069849631	11	28950155	[]
180	13	223.0769231	0.110219481	4	37420639	[]
182	20	294.4	0.068749773	10	34763474	[]
184	23	221.0869565	0.102797358	5	27349349	[]
186	11	359.1818182	0.047156561	5	12656503	[]
187	29	229.8275862	0.075739762	16	28756717	[]
190	7	299	0.098322883	5	34143806	[]
192	15	227.0666667	0.108798042	8	35738777	[]
193	42	203.8095238	0.040604122	22	25332588	[]
195	29	187.5172414	0.060091885	10	30648223	[]
196	11	206.7272727	0.094729219	5	28649233	[]
198	9	156.3333333	0.099394777	6	29852261	[]
199	19	182.2631579	0.073149437	7	10797613	[]
200	12	321.9166667	0.041155119	5	7903598	[]
205	21	187.4761905	0.110866908	9	21291622	[]
206	21	259.7142857	0.037099546	9	26329006	[]
